sample.number,transect.number,habitat.type,month,ground.cover,core.dry.wt.g
1,1,grassland,April,bareground,0.39
2,1,grassland,April,graminoid/forb,0.166
3,2,forest,April,graminoid,0.294
4,2,forest,April,forb,1.795
5,3,grassland,April,forb,1.735
6,3,grassland,April,graminoid,1.204
7,4,grassland,April,forb,2.402
8,4,grassland,April,graminoid,1.322
9,5,grassland,April,forb,2.263
10,5,grassland,April,bareground,0.241
11,6,grassland,April,graminoid/forb,2.914
12,6,grassland,April,graminoid,0.475
13,7,forest,April,graminoid,0.996
14,7,forest,April,forb,0.386
15,8,shrubland,April,forb,0.712
16,8,shrubland,April,forb,0.711
17,9,grassland,April,bareground,0.344
18,9,grassland,April,graminoid/forb,0.821
19,10,shrubland,April,forb,0.416
20,10,shrubland,April,forb,0.615
25,13,shrubland,April,graminoid,0.444
26,13,shrubland,April,bareground,0.04
27,14,shrubland,April,graminoid/forb,0.26
28,14,shrubland,April,bareground,0.069
29,15,shrubland,April,bareground,1.622
30,15,shrubland,April,graminoid,0.247
31,16,grassland,April,forb,0.253
32,16,grassland,April,graminoid/forb,1.297
33,17,grassland,April,forb,0.761
34,17,grassland,April,graminoid,0.748
35,18,grassland,April,graminoid/forb,1.683
36,18,grassland,April,bareground,0.4
37,19,grassland,April,graminoid/forb,2.208
38,19,grassland,April,grass,0.95
39,20,shrubland,April,graminoid/forb,1.213
40,20,shrubland,April,forb,0.592
41,21,forest,April,forb,0.815
42,21,forest,April,graminoid/forb,0.879
43,22,grassland,April,bareground,0.225
44,22,grassland,April,bareground,0.14
45,23,grassland,April,forb,2.227
47,24,shrubland,April,forb,3.013
48,24,shrubland,April,graminoid/forb,1.011
49,25,grassland,April,grass,1.92
50,25,grassland,April,bareground,0.135
51,26,forest,April,forb,0.374
53,27,forest,April,grass,0.832
54,27,forest,April,graminoid/forb,0.913
55,28,shrubland,April,bareground,0.158
56,28,shrubland,April,forb,0.912
57,29,forest,April,bareground,0.948
58,29,forest,April,bareground,0.966
59,30,forest,April,graminoid/forb,0.75
60,30,forest,April,forb,1.068
71,7,forest,November,graminoid/forb,0.293
72,7,forest,November,graminoid/forb,1.252
73,1,grassland,November,graminoid,0.068
74,1,grassland,November,graminoid,0.599
75,2,forest,November,bareground,0.5
76,2,forest,November,graminoid,1.34
77,3,grassland,November,graminoid/forb,1.358
78,3,grassland,November,forb,0.747
79,4,grassland,November,graminoid/forb,2.444
80,4,grassland,November,graminoid/forb,1.429
81,5,grassland,November,forb,0.196
82,5,grassland,November,graminoid,0.116
83,6,grassland,November,graminoid/forb,0.186
84,6,grassland,November,graminoid/forb,0.243
85,8,shrubland,November,graminoid/forb,0.481
86,8,shrubland,November,graminoid/forb,1.526
87,9,grassland,November,forb,2.392
88,9,grassland,November,graminoid,0.466
89,10,shrubland,November,graminoid/forb,0.715
90,10,shrubland,November,graminoid,0.398
91,11,shrubland,November,bareground,0.006
92,11,shrubland,November,graminoid/forb,1.822
93,12,shrubland,November,bareground,0.02
94,12,shrubland,November,forb,1.635
95,13,shrubland,November,graminoid,2.23
96,13,shrubland,November,forb,3.93
97,14,shrubland,November,graminoid,0.347
98,14,shrubland,November,graminoid/forb,1.508
99,15,shrubland,November,graminoid/forb,0.428
100,15,shrubland,November,graminoid/forb,0.925
101,16,grassland,November,graminoid/forb,1.303
102,16,grassland,November,graminoid,0.489
103,17,grassland,November,graminoid/forb,0.887
104,17,grassland,November,forb,2.449
105,18,grassland,November,graminoid/forb,1.814
106,18,grassland,November,bareground,0.113
107,19,grassland,November,forb,0.201
108,19,grassland,November,graminoid/forb,0.199
109,20,forest,November,graminoid,0.911
110,20,forest,November,graminoid/forb,0.919
111,21,forest,November,forb,1.625
112,21,forest,November,graminoid/forb,0.961
113,22,grassland,November,forb,0.281
114,22,grassland,November,bareground,1.765
115,23,grassland,November,forb,0.167
116,23,grassland,November,bareground,0.609
117,24,shrubland,November,forb,0.143
118,24,shrubland,November,forb,0.492
119,25,grassland,November,forb,0.612
120,25,grassland,November,graminoid/forb,0.644
121,26,forest,November,graminoid/forb,0.836
122,26,forest,November,graminoid/forb,0.436
123,27,forest,November,graminoid,2.276
124,27,forest,November,forb,1.41
125,28,shrubland,November,graminoid,0.345
126,28,shrubland,November,graminoid,0.091
127,29,forest,November,graminoid/forb,1.583
128,29,forest,November,bareground,1.036
129,30,forest,November,graminoid/forb,0.861
130,30,forest,November,graminoid,1.587
